reg_number,aircraft_model,airline_code,age
VN-A500,A321-271NX,VJC,0.9
VN-A516,A321-271NX,VJC,0.9
VN-A523,A321-271NX,VJC,0.9
VN-A525,A321-271NX,VJC,2.5
VN-A526,A321-271NX,VJC,3.3
VN-A528,A321-271NX,VJC,3.1
VN-A534,A321-271NX,VJC,5.3
VN-A536,A321-271NX,VJC,3.2
VN-A539,A321-271NX,VJC,1.4
VN-A607,A321-271N,VJC,6.8
VN-A646,A321-271N,VJC,8.2
VN-A653,A321-271N,VJC,7.5
VN-A674,A321-271N,VJC,7.6
VN-A693,A321-271N,VJC,7
VN-A522,A321-211,VJC,10.8
VN-A532,A321-211,VJC,11
VN-A535,A321-211,VJC,10.1
VN-A542,A321-211,VJC,10
VN-A544,A321-211,VJC,10
VN-A629,A321-211,VJC,7.3
VN-A630,A321-211,VJC,8.9
VN-A632,A321-211,VJC,8.5
VN-A633,A321-211,VJC,8.5
VN-A634,A321-211,VJC,8.3
VN-A635,A321-211,VJC,8.4
VN-A636,A321-211,VJC,8.3
VN-A637,A321-211,VJC,8.3
VN-A639,A321-211,VJC,8.2
VN-A641,A321-211,VJC,8.8
VN-A650,A320-214,VJC,11.1
VN-A655,A320-214,VJC,11.1
VN-A656,A320-214,VJC,10.9
VN-A658,A320-214,VJC,11.4
VN-A662,A320-214,VJC,10.5
VN-A663,A320-214,VJC,10.5
VN-A666,A320-214,VJC,17.2
VN-A669,A320-214,VJC,16.5
VN-A671,A320-214,VJC,10.1
VN-A672,A320-214,VJC,10.1
VN-A810,A330-343,VJC,17.5
VN-A811,A330-343,VJC,17.3
VN-A812,A330-343,VJC,15.5
VN-A814,A330-343,VJC,10.4
VN-A815,A330-343,VJC,10.3
VN-A816,A330-343,VJC,10.3
VN-A501,A321-272N,VNA,7.2
VN-A503,A321-272N,VNA,6.8
VN-A505,A321-272N,VNA,6.5
VN-A506,A321-272N,VNA,6.5
VN-A616,A321-272N,VNA,6.9
VN-A617,A321-272N,VNA,7.3
VN-A618,A321-272N,VNA,7.1
VN-A619,A321-272N,VNA,7.1
VN-A623,A321-272N,VNA,7.1
VN-A323,A321-231,VNA,14.9
VN-A324,A321-231,VNA,14.8
VN-A325,A321-231,VNA,14.8
VN-A326,A321-231,VNA,14.7
VN-A329,A321-231,VNA,14.3
VN-A332,A321-231,VNA,14.3
VN-A334,A321-231,VNA,13.8
VN-A335,A321-231,VNA,13.6
VN-A336,A321-231,VNA,13.6
VN-A337,A321-231,VNA,13.6
VN-A358,A321-231,VNA,17.6
VN-A390,A321-231,VNA,13.5
VN-A392,A321-231,VNA,13.5
VN-A393,A321-231,VNA,13.5
VN-A886,A350-941,VNA,10.8
VN-A887,A350-941,VNA,10.8
VN-A888,A350-941,VNA,10.5
VN-A889,A350-941,VNA,10.4
VN-A890,A350-941,VNA,9.4
VN-A891,A350-941,VNA,9.2
VN-A861,B787-900,VNA,10.8
VN-A862,B787-900,VNA,10.6
VN-A863,B787-900,VNA,10.6
VN-A864,B787-900,VNA,10.4
VN-A865,B787-900,VNA,10.2
VN-A866,B787-900,VNA,10.2
VN-A596,A320-251N,BAV,6.4
ER-00005,A320-214,BAV,12.2
JU-1410,A320-214,BAV,14.9
VN-A227,A321-211,BAV,13
VN-A585,A321-211,BAV,14.1